[chat, tvchannel]	有体育方面的吗。CCTV四套	O O O O O O O O O O O O O O
[email, chat]	给我打开mail。丰田车在哪里生产的？	O O O O B-ORG I-ORG I-ORG I-ORG O B-ORG I-ORG O O O O O O O O
[flight, video]	查询广州到海南的航班。想唱就唱	O O B-LOC I-LOC O B-LOC I-LOC O O O O O O O O
[chat, cookbook]	什么时候去。炒鸡蛋，需要，哪些材料？	O O O O O O O O O O O O O O O O O O
[weather]	你好请问一下明天广州的天气如何。郑州天气怎么样	O O O O O O O O B-LOC I-LOC O O O O O O B-LOC I-LOC O O O O O
[chat, health]	买几瓶。宫外孕怎么办？	O O O O O O O O O O O
[chat]	你有什么梦想啊。你认识徐俊吗	O O O O O O O O O O O B-PER I-PER O
[chat, cookbook]	谁写的你。回锅肉。	O O O O O O O O O
[flight, poetry]	汕头到重庆的航班。朗读游子吟。	B-LOC I-LOC O B-LOC I-LOC O O O O O O O O O O
[video, health]	劲爆在车。得了艾滋病怎么办	O O O O O O O O O O O O O
[health, chat]	甲亢。。这么多回答不了的问题	O O O O O O O O O O O O O O
[contacts, translation]	新建联系人王义勇幺三八六零零幺九四九零。翻译爸爸	O O O O O B-PER I-PER I-PER O O O O O O O O O O O O O O O O
[radio, contacts]	打开调频FM107南平人民广播电台。新建联系人18622625490	O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O
[chat]	这个新闻有意思吗。这不是你的名字吗😂	O O O O O O O O O O O O O O O O O O
[flight, riddle]	请查询一下深圳飞往上海的航班。给我搜索脑筋急转弯。	O O O O O B-LOC I-LOC O O B-LOC I-LOC O O O O O O O O O O O O O O
[epg, flight]	收看安徽卫视节目。。查一下从南京到上海的航班	O O B-ORG I-ORG I-ORG I-ORG O O O O O O O O B-LOC I-LOC O B-LOC I-LOC O O O
[riddle, cookbook]	讲个脑筋急转弯，我，我格，你是谁？。孙翠鱼怎么做？	O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER O O O O
[weather, cookbook]	今天东莞天气如何。做糖醋排骨	O O B-LOC I-LOC O O O O O O O O O O
[email, chat]	我要写条新邮件。什么跌了	O O O O O O O O O O O O
[chat, tvchannel]	这么装逼。江苏影视	O O O O O B-ORG I-ORG I-ORG I-ORG
[cinemas, tvchannel]	苏电影我们都是坏孩子。。中央台五套	B-LOC O O O O O O O O O O O B-ORG I-ORG I-ORG O O
[map, flight]	怎么去泉城广场。查询广州到海南的航班	O O O B-LOC I-LOC I-LOC I-LOC O O O B-LOC I-LOC O B-LOC I-LOC O O O
[chat]	你有喜欢的人吗。你有牙吗	O O O O O O O O O O O O
[contacts, riddle]	把张新涛电话发给常胜宾。给我搜索脑筋急转弯。	O B-PER I-PER I-PER O O O O B-PER I-PER I-PER O O O O O O O O O O O
[website, video]	把淘宝网打开。要看名侦探柯南	O O O O O O O O O O O O B-PER I-PER
[match, cookbook]	中超比赛，结果。。要怎么煮饭。	B-ORG O O O O O O O O O O O O O O
[video, news]	换到米老鼠。讲点新闻	O O B-PER I-PER I-PER O O O O O
[chat, cookbook]	怎么教你。红烧猪脚	O O O O O O O O O
[music, website]	我要听情动这首歌。。幻剑书盟	O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG
[train, map]	查询泉州到上海的动车票。去常州武进路线	O O B-LOC I-LOC O B-LOC I-LOC O O O O O O B-ORG I-ORG I-ORG I-ORG O O
[website, epg]	中国新闻网网站。前两个星期时代出行有播X女特工呢	B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O
[health, chat]	得了艾滋病怎么办。你喜欢喝什么茶呀	O O O O O O O O O O O O O O O O O
[map, cookbook]	沿途有没有加油站。酱茄条做法。	O O O O O O O O O O O O O O O
[cinemas, flight]	最近有什么新片子？。明天去深圳的飞机	O O O O O O O O O O O O O B-LOC I-LOC O O O
[telephone, cookbook]	呼叫零二二二九一一四八六。蛋糕可以做蛋糕吗？	O O O O O O O O O O O O O O O O O O O O O O
[cookbook, translation]	茄子鸡蛋怎么做？。翻译慷慨激昂	O O O O O O O O O O O O O O O
[telephone, weather]	打电话给魏文强。天气南京	O O O O B-PER I-PER I-PER O O O B-LOC I-LOC
[weather, chat]	告诉我现在北京天气怎么样。你是不是看不懂啊	O O O O O B-LOC I-LOC O O O O O O O O O O O O O O
[email, video]	替我打开新邮件。看电影啊	O O O O O O O O O O O O
[chat, schedule]	我美么。帮我设定8:10的闹钟。	O O O O O O O O O O O O O O O O
[flight, email]	明天珠海到青岛的航班。发邮件给晶晶	O O B-LOC I-LOC O B-LOC I-LOC O O O O O O O O B-ORG I-ORG
[tvchannel]	中央台五套。海南旅游卫视	B-ORG I-ORG I-ORG O O O B-LOC I-LOC O O O O
[message, video]	发短信给幺零零八六内容是十一。薛平贵与王宝钏	O O O O O O O O O O O O O O O B-PER I-PER I-PER O B-PER I-PER I-PER
[video, train]	查看电视录像。查询宜春到南昌的火车列车时刻表	O O O O O O O O O B-LOC I-LOC O B-LOC I-LOC O O O O O O O O
[video, email]	妈妈的花样年华。我想全部回应	O O O O O O O O O O O O O O
[chat, cookbook]	谁跟你说没对象了。白切鸡怎么做啊？	O O O O O O O O O O O O O O O O O
[poetry, map]	来一首纳兰性德的词。。查询北京到上海的路线	O O O B-PER I-PER I-PER I-PER O O O O O O B-LOC I-LOC O B-LOC I-LOC O O O
[chat, cinemas]	谁骂你。最近的新电影有哪些？	O O O O O O O O O O O O O O
[chat, health]	你谈过吗。甲亢。	O O O O O O O O
[epg, stock]	帮我查一下今晚中年中央六台放什么电影？。科大讯飞昨日成交价	O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O
[chat, cinemas]	你能帮我写作业吗。有没有新出的电影了。	O O O O O O O O O O O O O O O O O O O
[map, poetry]	带我去丹阳市眼镜市场。学而不厌，下一句是什么？	O O O B-LOC I-LOC I-LOC I-LOC I-LOC I-LOC I-LOC O O O O O O O O O O O O O
[website, chat]	我想上网易。你有压力吗	O O O O O O O O O O O
[train, poetry]	从合肥到北京的列车。来一首纳兰性德的词。	O B-LOC I-LOC O B-LOC I-LOC O O O O O O O B-PER I-PER I-PER I-PER O O O
[tvchannel, chat]	天津电视台的国际频道，拜托了哈。你研发团队有些谁	B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O B-ORG O O O O O O O O O
[message, flight]	给刘三发短信说我今天没有空。后天去武汉的航班	O B-PER I-PER O O O O O O O O O O O O O O B-LOC I-LOC O O O
[chat, train]	我在跟你聊天儿吗。查一下南昌到南京的火车	O O O O O O O O O O O O B-LOC I-LOC O B-LOC I-LOC O O O
